TP,thresh01,thresh015,thresh02,thresh025,thresh03,thresh035,thresh04,thresh045,thresh05,thresh055,thresh06,thresh065,thresh07,thresh075,thresh08,thresh085,thresh09
IID_IID,156.0,168.0,187.0,218.0,248.0,250.0,249.0,250.0,249.0,243.0,200.0,87.0,30.0,249.0,250.0,250.0,250.0
assortative_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,26.0,52.0,14.0,248.0,250.0,250.0,250.0
coreperiphery_IID,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,250.0,250.0,250.0,250.0
cosineGeometric_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,239.0,250.0,250.0,250.0
disassortative_IID,126.0,84.0,51.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,250.0,250.0
discreteUniform_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,153.0,206.0,240.0,250.0
dotProduct_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,189.0,227.0,245.0
geometricConf_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,180.0,211.0,236.0
randomGeometric_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,249.0,250.0,250.0,250.0
ringLattice_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0
rmsd_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,250.0,250.0,250.0,250.0
squaredEuclidean_IID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,250.0,250.0,250.0,250.0
IID_assortative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,50.0,162.0,175.0,0.0,0.0,0.0,0.0
assortative_assortative,235.0,229.0,245.0,250.0,250.0,250.0,250.0,249.0,249.0,247.0,224.0,198.0,158.0,0.0,0.0,0.0,0.0
coreperiphery_assortative,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cosineGeometric_assortative,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0
disassortative_assortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discreteUniform_assortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
dotProduct_assortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometricConf_assortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
randomGeometric_assortative,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0
ringLattice_assortative,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rmsd_assortative,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
squaredEuclidean_assortative,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
IID_coreperiphery,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
assortative_coreperiphery,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0
coreperiphery_coreperiphery,242.0,249.0,250.0,250.0,250.0,250.0,250.0,248.0,250.0,244.0,247.0,249.0,250.0,0.0,0.0,0.0,0.0
cosineGeometric_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,60.0,182.0,0.0,0.0,0.0,0.0
disassortative_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discreteUniform_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,99.0,0.0,0.0,0.0,0.0
dotProduct_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,24.0,54.0,97.0,0.0,0.0,0.0,0.0
geometricConf_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,22.0,47.0,80.0,0.0,0.0,0.0,0.0
randomGeometric_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,61.0,139.0,222.0,246.0,0.0,0.0,0.0,0.0
ringLattice_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rmsd_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,58.0,149.0,229.0,246.0,0.0,0.0,0.0,0.0
squaredEuclidean_coreperiphery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,64.0,139.0,228.0,242.0,0.0,0.0,0.0,0.0
IID_cosineGeometric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assortative_cosineGeometric,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coreperiphery_cosineGeometric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosineGeometric_cosineGeometric,125.0,147.0,178.0,191.0,196.0,220.0,221.0,228.0,221.0,213.0,166.0,106.0,17.0,1.0,0.0,0.0,0.0
disassortative_cosineGeometric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discreteUniform_cosineGeometric,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,9.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0
dotProduct_cosineGeometric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
geometricConf_cosineGeometric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
randomGeometric_cosineGeometric,54.0,42.0,49.0,34.0,19.0,18.0,16.0,17.0,26.0,20.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0
ringLattice_cosineGeometric,16.0,8.0,10.0,9.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rmsd_cosineGeometric,40.0,27.0,37.0,32.0,23.0,14.0,9.0,25.0,20.0,26.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0
squaredEuclidean_cosineGeometric,41.0,40.0,33.0,30.0,22.0,24.0,19.0,29.0,23.0,17.0,24.0,7.0,1.0,0.0,0.0,0.0,0.0
IID_disassortative,90.0,81.0,63.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
assortative_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coreperiphery_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosineGeometric_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0
disassortative_disassortative,124.0,166.0,199.0,221.0,249.0,248.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,13.0,0.0,0.0
discreteUniform_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0
dotProduct_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
geometricConf_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
randomGeometric_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ringLattice_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0
rmsd_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squaredEuclidean_disassortative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IID_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assortative_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coreperiphery_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosineGeometric_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,6.0,10.0,0.0,0.0,0.0,0.0
disassortative_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discreteUniform_discreteUniform,195.0,173.0,170.0,170.0,151.0,118.0,118.0,100.0,85.0,74.0,119.0,45.0,17.0,2.0,0.0,5.0,0.0
dotProduct_discreteUniform,26.0,25.0,39.0,49.0,52.0,50.0,54.0,41.0,44.0,44.0,131.0,18.0,9.0,2.0,0.0,11.0,0.0
geometricConf_discreteUniform,3.0,7.0,13.0,25.0,27.0,34.0,38.0,31.0,36.0,30.0,106.0,10.0,5.0,1.0,2.0,12.0,0.0
randomGeometric_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
ringLattice_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rmsd_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
squaredEuclidean_discreteUniform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
IID_dotProduct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assortative_dotProduct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coreperiphery_dotProduct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosineGeometric_dotProduct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0
